name,color,top,left,font_size,R,G,B,cluster,cluster_name
pop,#a78b09,0.2445763873030372,0.538,160,0.6549019607843137,0.5450980392156862,0.03529411764705882,1,pop
dance pop,#b88411,0.15706782370404201,0.5666666666666667,142,0.7215686274509804,0.5176470588235295,0.06666666666666667,7,dance pop
rap,#a98404,0.2582781456953642,0.7286666666666667,140,0.6627450980392157,0.5176470588235295,0.01568627450980392,7,dance pop
rock,#b1701d,0.48449417675268325,0.3313333333333333,136,0.6941176470588235,0.4392156862745098,0.11372549019607843,5,rock
hip hop,#ac7e0b,0.28897008449417677,0.7213333333333334,132,0.6745098039215687,0.49411764705882355,0.043137254901960784,7,dance pop
urbano latino,#bf8f02,0.14839004338890158,0.7813333333333333,131,0.7490196078431373,0.5607843137254902,0.00784313725490196,7,dance pop
pop rap,#b18507,0.21032199132221968,0.6773333333333333,126,0.6941176470588235,0.5215686274509804,0.027450980392156862,7,dance pop
reggaeton,#c28d03,0.133546471797214,0.7813333333333333,126,0.7607843137254902,0.5529411764705883,0.011764705882352941,7,dance pop
edm,#c8813f,0.11696734414249829,0.526,125,0.7843137254901961,0.5058823529411764,0.24705882352941178,13,edm
latin pop,#aa8b03,0.3029458780543503,0.5453333333333333,124,0.6666666666666666,0.5450980392156862,0.011764705882352941,1,pop
trap,#a48d02,0.23854761361041332,0.718,124,0.6431372549019608,0.5529411764705883,0.00784313725490196,7,dance pop
modern rock,#bb771d,0.2625256907969856,0.304,123,0.7333333333333333,0.4666666666666667,0.11372549019607843,6,modern rock
classic rock,#98791a,0.5768897008449417,0.456,123,0.596078431372549,0.4745098039215686,0.10196078431372549,11,classic rock
r&b,#998b06,0.27435487554236127,0.6193333333333333,123,0.6,0.5450980392156862,0.023529411764705882,7,dance pop
pop dance,#c9813b,0.11459237268782826,0.5306666666666666,123,0.788235294117647,0.5058823529411764,0.23137254901960785,13,edm
musica mexicana,#988f04,0.5836492349851564,0.6666666666666666,123,0.596078431372549,0.5607843137254902,0.01568627450980392,8,musica mexicana
nueva musica mexicana,#9c8f02,0.5767526832610185,0.6746666666666666,122,0.611764705882353,0.5607843137254902,0.00784313725490196,8,musica mexicana
trap latino,#ad9602,0.2146152089518155,0.7833333333333333,121,0.6784313725490196,0.5882352941176471,0.00784313725490196,7,dance pop
permanent wave,#aa7820,0.39835578899292073,0.328,121,0.6666666666666666,0.47058823529411764,0.12549019607843137,5,rock
mellow gold,#8d830d,0.54692852249372,0.4206666666666667,121,0.5529411764705883,0.5137254901960784,0.050980392156862744,11,classic rock
post-teen pop,#ac8804,0.22895638273578442,0.506,121,0.6745098039215687,0.5333333333333333,0.01568627450980392,1,pop
tropical house,#c08733,0.11751541447819137,0.58,120,0.7529411764705882,0.5294117647058824,0.2,13,edm
alternative metal,#d45f2a,0.2860927152317881,0.21933333333333332,120,0.8313725490196079,0.37254901960784315,0.16470588235294117,6,modern rock
contemporary country,#a68801,0.29047727791733274,0.368,120,0.6509803921568628,0.5333333333333333,0.00392156862745098,1,pop
soft rock,#94820e,0.48449417675268325,0.4226666666666667,120,0.5803921568627451,0.5098039215686274,0.054901960784313725,11,classic rock
electropop,#a98a20,0.20127883078328385,0.512,120,0.6627450980392157,0.5411764705882353,0.12549019607843137,1,pop
pop rock,#ab8011,0.3316282256222882,0.3293333333333333,120,0.6705882352941176,0.5019607843137255,0.06666666666666667,1,pop
k-pop,#b48516,0.2593742863667504,0.5153333333333333,119,0.7058823529411765,0.5215686274509804,0.08627450980392157,1,pop
